No,Date,Team 1,Team 2,Score
1,18 Sep 2023,Al-Faisaly,Nasaf,0-1
2,18 Sep 2023,Al Sadd,Sharjah,0-0
1,18 Sep 2023,Al-Ittihad,AGMK,3-0
2,18 Sep 2023,Al-Quwa Al-Jawiya,Sepahan,2-2
1,18 Sep 2023,Al-Hilal,Navbahor,1-1
2,18 Sep 2023,Mumbai City,Nassaji Mazandaran,0-2
1,19 Sep 2023,Pakhtakor,Al-Ain,0-3
2,19 Sep 2023,Ahal,Al-Fayha,1-0
1,19 Sep 2023,Istiklol,Al-Duhail,0-0
2,19 Sep 2023,Persepolis,Al Nassr,0-2
1,19 Sep 2023,Yokohama F. Marinos,Incheon United,2-4
2,19 Sep 2023,Kaya-Iloilo,Shandong Taishan,1-3
1,19 Sep 2023,Ulsan Hyundai,BG Pathum United,3-1
2,19 Sep 2023,Johor Darul Ta'zim,Kawasaki Frontale,0-1
1,20 Sep 2023,Jeonbuk Hyundai Motors,Kitchee,2-1
2,20 Sep 2023,Lion City Sailors,Bangkok United,1-2
1,20 Sep 2023,Buriram United,Zhejiang,4-1
2,20 Sep 2023,Melbourne City,Ventforet Kofu,0-0
1,20 Sep 2023,Wuhan Three Towns,Urawa Red Diamonds,2-2
2,20 Sep 2023,Hanoi FC,Pohang Steelers,2-4
3,02 Oct 2023,Sharjah,Al-Faisaly,1-0
4,02 Oct 2023,Nasaf,Al Sadd,3-1
3,02 Oct 2023,AGMK,Al-Quwa Al-Jawiya,1-2
4,02 Oct 2023,Nasaf,Al-Ittihad,3-1
3,02 Oct 2023,Navbahor,Mumbai City,3-0
3,02 Oct 2023,Al Nassr,Istiklol,3-1
4,02 Oct 2023,Al-Duhail,Persepolis,0-1
3,03 Oct 2023,Al-Ain,Ahal,4-2
4,03 Oct 2023,Al-Fayha,Pakhtakor,2-0
4,03 Oct 2023,Nassaji Mazandaran,Al-Hilal,0-3
3,03 Oct 2023,Incheon United,Kaya-Iloilo,4-0
4,03 Oct 2023,Shandong Taishan,Yokohama F. Marinos,0-1
3,03 Oct 2023,Kawasaki Frontale,Ulsan Hyundai,1-0
4,03 Oct 2023,BG Pathum United,Johor Darul Ta'zim,2-4
3,04 Oct 2023,Bangkok United,Jeonbuk Hyundai Motors,3-2
4,04 Oct 2023,Kitchee,Lion City Sailors,1-2
