Date,Team 1,Team 2,Score
25 Nov 2023,CR Belouizdad,Young Africans,3-0
25 Nov 2023,Simba SC,ASEC Mimosas,1-1
25 Nov 2023,Pyramids FC,TP Mazembe,1-0
26 Nov 2023,Al Ahly,Medeama,3-0
26 Nov 2023,Petro de Luanda,Al-Hilal Omdurman,1-0
26 Nov 2023,ES Tunis,Étoile du Sahel,2-0
26 Nov 2023,Wydad Casablanca,Jwaneng Galaxy,0-1
26 Nov 2023,Mamelodi Sundowns,Nouadhibou,3-0
02 Dec 2023,CR Belouizdad,Medeama,2-1
02 Dec 2023,Al-Hilal Omdurman,ES Tunis,3-1
02 Dec 2023,Jwaneng Galaxy,Simba SC,0-0
02 Dec 2023,TP Mazembe,Mamelodi Sundowns,1-0
03 Dec 2023,Young Africans,Al Ahly,1-1
03 Dec 2023,Étoile du Sahel,Petro de Luanda,0-2
03 Dec 2023,ASEC Mimosas,Wydad Casablanca,1-0
03 Dec 2023,Nouadhibou,TP Mazembe,2-0
09 Dec 2023,Medeama,Young Africans,1-1
09 Dec 2023,Al Ahly,CR Belouizdad,0-0
09 Dec 2023,Étoile du Sahel,Al-Hilal Omdurman,1-0
09 Dec 2023,Jwaneng Galaxy,Wydad Casablanca,0-2
10 Dec 2023,ES Tunis,Petro de Luanda,0-0
10 Dec 2023,Wydad Casablanca,Simba SC,1-0
10 Dec 2023,Mamelodi Sundowns,Pyramids FC,0-0
10 Dec 2023,Nouadhibou,TP Mazembe,0-0
19 Dec 2023,Simba SC,Wydad Casablanca,2-0
19 Dec 2023,TP Mazembe,Nouadhibou,2-0
20 Dec 2023,Young Africans,Medeama,3-0
20 Dec 2023,Al-Hilal Omdurman,Étoile du Sahel,1-1
20 Dec 2023,Petro de Luanda,ES Tunis,0-0
20 Dec 2023,ASEC Mimosas,Jwaneng Galaxy,3-0
20 Dec 2023,Pyramids FC,Mamelodi Sundowns,0-1
17 Feb 2024,CR Belouizdad,Al Ahly,0-0
24 Feb 2024,Medeama,Al Ahly,0-1
24 Feb 2024,Al-Hilal Omdurman,Petro de Luanda,0-0
24 Feb 2024,Jwaneng Galaxy,Wydad Casablanca,0-1
24 Feb 2024,ASEC Mimosas,Simba SC,0-0
24 Feb 2024,TP Mazembe,Pyramids FC,3-0
25 Feb 2024,Young Africans,CR Belouizdad,4-0
25 Feb 2024,Étoile du Sahel,ES Tunis,0-2
25 Feb 2024,Nouadhibou,Mamelodi Sundowns,0-2
02 Mar 2024,CR Belouizdad,Medeama,3-0
02 Mar 2024,Al Ahly,Young Africans,1-0
02 Mar 2024,Pyramids FC,Nouadhibou,2-2
02 Mar 2024,Mamelodi Sundowns,TP Mazembe,1-0
03 Mar 2024,Petro de Luanda,Étoile du Sahel,2-0
03 Mar 2024,ES Tunis,Al-Hilal Omdurman,1-0
03 Mar 2024,Wydad Casablanca,ASEC Mimosas,1-0
03 Mar 2024,Simba SC,Jwaneng Galaxy,6-0
