No,Team 1,Team 2,Score,Penalty
1,Philadelphia Union,Pachuca,0-6,-
2,Herediano,Robinhood,3-1,-
3,Guadalajara,América,3-5,-
4,New England Revolution,Alajuelense,5-1,-
5,Houston Dynamo FC,Columbus Crew,1-2,-
6,Orlando City SC,UANL,2-4,-
7,FC Cincinnati,Monterrey,1-3,-
8,Nashville SC,Inter Miami CF,3-5,-
1,Herediano,Pachuca,1-7,-
2,New England Revolution,América,2-9,-
3,Columbus Crew,UANL,2-2,4-3
4,Inter Miami CF,Monterrey,2-5,-
1,América,Pachuca,2-3,-
2,Columbus Crew,Monterrey,5-2,-
1,Pachuca,Columbus Crew,3-0,-
