,Al-Hilal,Al Ain,Yokohama F. Marinos,Al Ahly,ES Tunis,Mamelodi Sundowns,Pachuca,América,Monterrey,Columbus Crew,Auckland City,Pirae,Real Madrid,Manchester City,Bayern Munchen,Borussia Dortmund,Atlético Mineiro,River Plate,Botafogo,Peñarol
Al-Hilal,0.0,900.0061547863396,8673.584186277141,1639.1891475145248,3710.8636941098603,5965.495790424928,13788.81508406283,13884.438479013961,13382.339854317273,11138.431003490507,14926.986369401415,18136.180714891325,4966.79742658208,5146.362703890047,4026.4527270164613,4458.556230922047,11003.10559656261,12874.237564906161,11063.708336709611,12669.547235293898
Al Ain,900.0061547863396,0.0,7948.94256950256,2494.263936338905,4524.179665468473,6296.895766594286,14361.927806114225,14459.758898085509,13892.162392640323,11692.927897873391,14109.500044372957,17290.98302160977,5750.473899116862,5761.444952628465,4675.826526150371,5074.144974663651,11847.886555612307,13644.226587474624,11890.566175892545,13433.565576662639
Yokohama F. Marinos,8673.584186277141,7948.94256950256,0.0,9561.823765668854,10427.70724722656,13489.235655186892,11298.875931138284,11332.453541939105,10753.934710986798,10555.699352558415,8830.747436823685,9499.424663114969,10772.170602748665,9458.184728843888,9373.489357891198,9277.203018794888,18246.779549786654,18369.807139909626,18584.44234428142,18589.4436115391
Al Ahly,1639.1891475145248,2494.263936338905,9561.823765668854,0.0,2083.8337391298896,6215.893548164405,12291.718023223328,12383.989818479058,11951.356818930077,9697.769391938324,16561.186609469663,18619.15847538305,3354.9360864801674,3746.165628835845,2621.404851009522,3087.4826917328164,9782.620151196577,11823.298778480532,9900.884137317964,11639.9952776292
ES Tunis,3710.8636941098603,4524.179665468473,10427.70724722656,2083.8337391298896,0.0,7199.6244144816355,10260.354213041097,10349.872667626254,9969.046639607257,7735.701335534895,18633.61081474532,17104.585655807303,1279.585099707193,2095.552444359629,1280.2815862559373,1654.6054753874594,8491.166219470804,10644.20149762645,8687.886942768126,10500.94151697296
Mamelodi Sundowns,5965.495790424928,6296.895766594286,13489.235655186892,6215.893548164405,7199.6244144816355,0.0,14583.921099003526,14596.56545530128,14887.199908016573,13560.185679904642,12216.761013185198,15195.073796821745,8067.249129161866,9286.324521936634,8390.489768073965,8826.4836471245,7341.036398677993,8136.716729087439,7160.882099166377,7921.952274296509
Pachuca,13788.81508406283,14361.927806114225,11298.875931138284,12291.718023223328,10260.354213041097,14583.921099003526,0.0,98.29636522699515,637.1639646699546,2669.0259019800496,11035.393294299263,6945.177354083651,8984.362181998213,8643.54261403077,9762.645592195568,9332.260806835906,7438.164887716045,7420.947623234717,7683.675219834298,7588.358860555772
América,13884.438479013961,14459.758898085509,11332.453541939105,12383.989818479058,10349.872667626254,14596.56545530128,98.29636522699515,0.0,716.7315848876359,2766.8311433856456,10949.447471012709,6861.505087176005,9073.285207821007,8739.58214742009,9858.114678258984,9428.393564640437,7423.921987758153,7372.574906666967,7665.587038757468,7542.053024275868
Monterrey,13382.339854317273,13892.162392640323,10753.934710986798,11951.356818930077,9969.046639607257,14887.199908016573,637.1639646699546,716.7315848876359,0.0,2254.6808189632825,11274.095802010095,7177.195079276216,8706.822334797485,8245.360301862824,9373.697187427744,8929.582005249615,7909.833151849878,8013.88587317385,8170.985166497399,8175.454185061985
Columbus Crew,11138.431003490507,11692.927897873391,10555.699352558415,9697.769391938324,7735.701335534895,13560.185679904642,2669.0259019800496,2766.8311433856456,2254.6808189632825,0.0,13459.326964902577,9386.06309177516,6487.897635402481,5994.643981455866,7121.336882533495,6680.780726335273,7790.905425881883,8660.506663914988,8112.146572017736,8760.894860510345
Auckland City,14926.986369401415,14109.500044372957,8830.747436823685,16561.186609469663,18633.61081474532,12216.761013185198,11035.393294299263,10949.447471012709,11274.095802010095,13459.326964902577,0.0,4098.841010782452,19596.79845837152,18155.773563870793,18152.382841703282,18107.782918421562,12502.417451401341,10353.34283173044,12263.561055727245,10469.227160716977
Pirae,18136.180714891325,17290.98302160977,9499.424663114969,18619.15847538305,17104.585655807303,15195.073796821745,6945.177354083651,6861.505087176005,7177.195079276216,9386.06309177516,4098.841010782452,0.0,15873.95794217275,15128.119271039905,16200.69838792587,15731.150689996319,10885.631776755758,9010.964305038617,10829.814170590542,9213.003600490521
Real Madrid,4966.79742658208,5750.473899116862,10772.170602748665,3354.9360864801674,1279.585099707193,8067.249129161866,8984.362181998213,9073.285207821007,8706.822334797485,6487.897635402481,19596.79845837152,15873.95794217275,0.0,1453.1786339359408,1488.5615646656447,1495.6949207709893,7903.98060971404,10047.594815413926,8148.349114789484,9936.311150020421
Manchester City,5146.362703890047,5761.444952628465,9458.184728843888,3746.165628835845,2095.552444359629,9286.324521936634,8643.54261403077,8739.58214742009,8245.360301862824,5994.643981455866,18155.773563870793,15128.119271039905,1453.1786339359408,0.0,1130.5611881244913,689.3472302379494,9093.397568078493,11182.784449047575,9366.16242830328,11099.089632403597
Bayern Munchen,4026.4527270164613,4675.826526150371,9373.489357891198,2621.404851009522,1280.2815862559373,8390.489768073965,9762.645592195568,9858.114678258984,9373.697187427744,7121.336882533495,18152.382841703282,16200.69838792587,1488.5615646656447,1130.5611881244913,0.0,471.0099770261048,9373.554793823254,11524.236572880754,9607.783422704726,11406.720963825672
Borussia Dortmund,4458.556230922047,5074.144974663651,9277.203018794888,3087.4826917328164,1654.6054753874594,8826.4836471245,9332.260806835906,9428.393564640437,8929.582005249615,6680.780726335273,18107.782918421562,15731.150689996319,1495.6949207709893,689.3472302379494,471.0099770261048,0.0,9382.775879545883,11514.551579500847,9634.392304377852,11411.448043784112
Atlético Mineiro,11003.10559656261,11847.886555612307,18246.779549786654,9782.620151196577,8491.166219470804,7341.036398677993,7438.164887716045,7423.921987758153,7909.833151849878,7790.905425881883,12502.417451401341,10885.631776755758,7903.98060971404,9093.397568078493,9373.554793823254,9382.775879545883,0.0,2157.711862227344,337.8769906328313,2033.2227546619206
River Plate,12874.237564906161,13644.226587474624,18369.807139909626,11823.298778480532,10644.20149762645,8136.716729087439,7420.947623234717,7372.574906666967,8013.88587317385,8660.506663914988,10353.34283173044,9010.964305038617,10047.594815413926,11182.784449047575,11524.236572880754,11514.551579500847,2157.711862227344,0.0,1961.1686648160921,219.6693058048701
Botafogo,11063.708336709611,11890.566175892545,18584.44234428142,9900.884137317964,8687.886942768126,7160.882099166377,7683.675219834298,7665.587038757468,8170.985166497399,8112.146572017736,12263.561055727245,10829.814170590542,8148.349114789484,9366.16242830328,9607.783422704726,9634.392304377852,337.8769906328313,1961.1686648160921,0.0,1813.276710455592
Peñarol,12669.547235293898,13433.565576662639,18589.4436115391,11639.9952776292,10500.94151697296,7921.952274296509,7588.358860555772,7542.053024275868,8175.454185061985,8760.894860510345,10469.227160716977,9213.003600490521,9936.311150020421,11099.089632403597,11406.720963825672,11411.448043784112,2033.2227546619206,219.6693058048701,1813.276710455592,0.0
