No,Teams,Region,ELO,Continental Strength,Real ELO,Latitude,Longitude
1,Al-Hilal,Asia,858.64,0.9805158032,841.91,24.7886,46.839
2,Al Ain,,847.17,0.9805158032,830.66,24.245594,55.716583
3,Yokohama F. Marinos,,845.11,0.9805158032,828.64,35.510039,139.60625
4,Al Ahly,Africa,857.56,1.059097498,908.24,30.069114,31.312333
5,ES Tunis,,833.34,1.059097498,882.59,36.747778,10.272778
6,Mamelodi Sundowns,,822.03,1.059097498,870.61,-25.753333,28.222778
7,Pachuca,NA,850.3,1.003407457,853.20,20.105278,-98.756111
8,América,,832.49,1.003407457,835.33,19.303056,-99.150556
9,Monterrey,,832.24,1.003407457,835.08,25.669167,-100.244444
10,Columbus Crew,,832,1.003407457,834.84,39.968461,-83.017089
11,Auckland City,OCE,839.69,0.8092100103,679.49,-36.8978,174.7364
12,Pirae,,834.41,0.8092100103,675.21,-17.54,-149.551944
13,Real Madrid,EU,884.98,1.164599744,1030.65,40.453056,-3.688333
14,Manchester City,,863.69,1.164599744,1005.85,53.483056,-2.200278
15,Bayern Munchen,,858.85,1.164599744,1000.22,48.218889,11.624722
16,Borussia Dortmund,,853.14,1.164599744,993.57,51.4925,7.451667
17,Atlético Mineiro,SA,864.11,1.236841422,1068.77,-19.929861,-44.014444
18,River Plate,,857.98,1.236841422,1061.19,-34.545278,-58.449722
19,Botafogo,,854.42,1.236841422,1056.78,-22.893172,-43.292269
20,Peñarol,,840.04,1.236841422,1039.00,-34.79675,-56.067139
