Week,Match 1,Match 2,Match 3
1,River Plate (H) vs Penarol,Botafogo vs America (H),Dummy (H) vs Pachuca
2,River Plate (H) vs America,Pachuca (H) vs Penarol,Dummy vs Botafogo (H)
3,River Plate vs Penarol (H),Botafogo vs Pachuca (H),Dummy (H) vs America
4,River Plate vs Botafogo (H),Pachuca vs America (H),Dummy vs Penarol (H)
5,River Plate (H) vs Pachuca,Penarol (H) vs America,Dummy (H) vs Botafogo
6,Botafogo (H) vs Penarol,Pachuca (H) vs America,Dummy vs River Plate (H)
7,River Plate (H) vs Botafogo,Penarol vs America (H),Dummy vs Pachuca (H)
8,River Plate vs Pachuca (H),Botafogo vs Penarol (H),Dummy vs America (H)
9,River Plate vs America (H),Botafogo (H) vs Pachuca,Dummy (H) vs Penarol
10,Botafogo (H) vs America,Pachuca vs Penarol (H),Dummy (H) vs River Plate
