Week,Match 1,Match 2,Match 3
1,Atletico Mineiro vs Monterrey (H),Auckland City vs Pirae (H),Dummy (H) vs Mamelodi Sundowns
2,Atletico Mineiro (H) vs Auckland City,Monterrey (H) vs Mamelodi Sundowns,Dummy vs Pirae (H)
3,Atletico Mineiro (H) vs Pirae,Monterrey (H) vs Auckland City,Dummy vs Mamelodi Sundowns (H)
4,Monterrey vs Mamelodi Sundowns (H),Auckland City (H) vs Pirae,Dummy (H) vs Atletico Mineiro
5,Atletico Mineiro vs Auckland City (H),Mamelodi Sundowns (H) vs Pirae,Dummy (H) vs Monterrey
6,Atletico Mineiro (H) vs Mamelodi Sundowns,Monterrey vs Pirae (H),Dummy vs Auckland City (H)
7,Atletico Mineiro vs Pirae (H),Mamelodi Sundowns (H) vs Auckland City,Dummy vs Monterrey (H)
8,Monterrey vs Auckland City (H),Mamelodi Sundowns vs Pirae (H),Dummy vs Atletico Mineiro (H)
9,Atletico Mineiro (H) vs Monterrey,Mamelodi Sundowns vs Auckland City (H),Dummy (H) vs Pirae
10,Atletico Mineiro vs Mamelodi Sundowns (H),Monterrey (H) vs Pirae,Dummy (H) vs Auckland City
