Week,Match 1,Match 2,Match 3
1,Al-Hilal (H) vs Al Ain,Al Ahly (H) vs ES Tunis,Dummy (H) vs Real Madrid
2,Real Madrid vs ES Tunis (H),Al Ahly (H) vs Al Ain,Dummy vs Al-Hilal (H)
3,Real Madrid vs Al Ain (H),Al-Hilal vs Al Ahly (H),Dummy (H) vs ES Tunis
4,Al-Hilal vs ES Tunis (H),Al Ahly vs Al Ain (H),Dummy vs Real Madrid (H)
5,Real Madrid (H) vs Al Ain,Al Ahly vs ES Tunis (H),Dummy (H) vs Al-Hilal
6,Real Madrid vs Al Ahly (H),Al-Hilal (H) vs ES Tunis,Dummy (H) vs Al Ain
7,Real Madrid vs Al-Hilal (H),ES Tunis vs Al Ain (H),Dummy vs Al Ahly (H)
8,Real Madrid (H) vs ES Tunis,Al-Hilal (H) vs Al Ahly,Dummy vs Al Ain (H)
9,Real Madrid (H) vs Al-Hilal,ES Tunis (H) vs Al Ain,Dummy (H) vs Al Ahly
10,Real Madrid (H) vs Al Ahly,Al-Hilal vs Al Ain (H),Dummy vs ES Tunis (H)
