Teams,Country (FIFA Code),Current ELO,Country ELO,Nation Scale,Real ELO,Latitude,Longitude
River Plate,ARG,857.98,1855.2,1.514387933,1299.314559,-34.545278,-58.449722
Manchester City,ENG,863.69,1800.05,1.46936934,1269.079605,53.483056,-2.200278
Atlético Mineiro,BRA,864.11,1784.09,1.456341293,1258.439075,-19.929861,-44.014444
Real Madrid,ESP,884.98,1732.64,1.414342986,1251.665256,40.453056,-3.688333
Botafogo,BRA,854.42,1784.09,1.456341293,1244.327128,-22.893172,-43.292269
Fluminense,BRA,834.53,1784.09,1.456341293,1215.3605,-22.912222,-43.230278
Atletico Madrid,ESP,846.96,1732.64,1.414342986,1197.891936,40.436111,-3.599444
Pachuca,MEX,850.3,1652.7,1.349088474,1147.129929,20.105278,-98.756111
Bayern Munchen,GER,858.85,1631.22,1.331554487,1143.605571,48.218889,11.624722
Peñarol,URU,840.04,1665.99,1.359937016,1142.401491,-34.79675,-56.067139
Borussia Dortmund,GER,853.14,1631.22,1.331554487,1136.002395,51.4925,7.451667
Columbus Crew,USA,832,1665.27,1.359349285,1130.978605,39.968461,-83.017089
América,MEX,832.49,1652.7,1.349088474,1123.102664,19.303056,-99.150556
Monterrey,MEX,832.24,1652.7,1.349088474,1122.765392,25.669167,-100.244444
Yokohama F. Marinos,JPN,845.11,1620.19,1.322550768,1117.70088,35.510039,139.60625
UANL,MEX,820,1652.7,1.349088474,1106.252549,25.723,-100.312
Pohang Steelers,KOR,842.17,1550.65,1.26578571,1066.006751,35.997781,129.384242
Al Ahly,EGY,857.56,1518.91,1.23987655,1063.268534,30.069114,31.312333
ES Tunis,TUN,833.34,1523.23,1.243402938,1036.177405,36.747778,10.272778
Al-Hilal,KSA,858.64,1421.06,1.160002219,996.0243051,24.7886,46.839
Al Ain,UAE,847.17,1364.46,1.1138,943.5779457,24.245594,55.716583
Mamelodi Sundowns,RSA,822.03,1357.08,1.107775753,910.6249019,-25.753333,28.222778
Auckland City,NZL,839.69,1197.47,0.9774871271,820.7861658,-36.8978,174.7364
Pirae,TAH,834.41,999.48,0.8158691523,680.7693794,-17.54,-149.551944
