Teams,Atlético Mineiro,River Plate,Botafogo,Peñarol
Al-Hilal,11229.97,13093.52,11278.58,12866.64
Al Ain,12086,13874.76,12116.69,13641.91
Yokohama F. Marinos,18486.91,18602.36,18812.58,18799.8
Al Ahly,9943.15,11976.25,10049.42,11770.76
ES Tunis,8677.35,10822.8,8862.08,10657.35
Mamelodi Sundowns,7539.2,8327.3,7347.05,8090.34
Pachuca,7653.73,7628.94,7887.26,7774.16
América,7657.36,7598.43,7887.04,7745.72
Monterrey,8143.52,8240,8392.69,8379.37
Columbus Crew,8024.84,8886.86,8334.09,8965.05
Auckland City,12891.7,10735.04,12640.85,10828.74
Pirae,11279.19,9396.94,11211.38,9576.79
Real Madrid,7942.1,10078.13,8174.48,9944.66
Manchester City,9156.32,11238.12,9417.09,11132.24
Bayern Munchen,9442.1,11585.21,9664.34,11445.5
Borussia Dortmund,9457.98,11582.17,9697.6,11456.88
