Teams,Atlético Mineiro,River Plate,Botafogo,Peñarol
Al-Hilal,51476.46,48096.59,46180.18,38857.14
Al Ain,56708.22,53157.73,51142.14,43418.99
Yokohama F. Marinos,57680.66,54097.87,52066.44,44269.92
Al Ahly,25779.66,23405.53,22074.03,17109.82
ES Tunis,34671.48,31908.6,30350.84,24474.59
Mamelodi Sundowns,39274.73,36328.87,34666.43,28363.11
Pachuca,46477.86,43267.26,41452.5,34529.23
América,54501.66,51020.11,49047.77,41489.01
Monterrey,54618.93,51133.75,49159.06,41591.54
Columbus Crew,54731.04,51242.98,49265.48,41690.07
Auckland City,151551.42,145705.24,142360.01,129257.91
Pirae,154900.36,148989.57,145606.49,132352.38
Real Madrid,1461.04,942.74,690.93,79.66
Manchester City,3968.02,3073.7,2603.23,1110.02
Bayern Munchen,4708.48,3728.87,3208.64,1515.3
Borussia Dortmund,5664.42,4583.98,4005.14,2075.3
