Teams,River Plate,Manchester City,Atlético Mineiro,Real Madrid
Botafogo,10868.3,38077.39,1550.66,32647.29
Pachuca,52843.99,49445.94,42142.43,46865.13
Bayern Munchen,70342.3,20265.98,50681,17631.15
Peñarol,25500.39,60443.76,21597.62,51683.87
Borussia Dortmund,72729.13,20466.94,52521.9,19360.69
Columbus Crew,62979.07,43050.5,47409.84,40516.89
América,60540.97,56267.64,48011.67,52821.53
Monterrey,63225.2,54389.34,50046.72,51442.51
Yokohama F. Marinos,106462.86,60748.31,92794.46,61035.2
Al Ahly,103010.99,57342.88,77222.07,48913.09
ES Tunis,111818.03,62625.66,83364.96,51553.36
Al-Hilal,143482,95144.68,112873.99,85219.51
Al Ain,181125.52,128997.14,146529.14,117919.72
Mamelodi Sundowns,183626.56,165635.12,150338.89,148577.56
Auckland City,270402.85,273590.2,241549.81,264044.09
Pirae,418642.05,406621.48,377244.86,389418.02
