Teams,River Plate,Manchester City,Atlético Mineiro,Real Madrid,Botafogo,Pachuca,Bayern Munchen,Peñarol,Borussia Dortmund,Columbus Crew,América,Monterrey,Yokohama F. Marinos,Al Ahly,ES Tunis,Al-Hilal,Al Ain,Mamelodi Sundowns,Auckland City,Pirae
River Plate,0,45645.35,10301.66,42460.89,10868.3,52843.99,70342.3,25500.39,72729.13,62979.07,60540.97,63225.2,106462.86,103010.99,111818.03,143482.0,181125.52,183626.56,270402.85,418642.05
Manchester City,45645.35,0,36486.86,6115.98,38077.39,49445.94,20265.98,60443.76,20466.94,43050.5,56267.64,54389.34,60748.31,57342.88,62625.66,95144.68,128997.14,165635.12,273590.2,406621.48
Atlético Mineiro,10301.66,36486.86,0,31661.85,1550.66,42142.43,50681.0,21597.62,52521.9,47409.84,48011.67,50046.72,92794.46,77222.07,83364.96,112873.99,146529.14,150338.89,241549.81,377244.86
Real Madrid,42460.89,6115.98,31661.85,0,32647.29,46865.13,17631.15,51683.87,19360.69,40516.89,52821.53,51442.51,61035.2,48913.09,51553.36,85219.51,117919.72,148577.56,264044.09,389418.02
Botafogo,10868.3,38077.39,1550.66,32647.29,0,40182.04,48576.02,17641.95,50271.87,45296.52,45357.76,47461.24,90372.08,72385.81,78077.9,105909.19,138012.4,140000.74,228441.26,360916.65
Pachuca,52843.99,49445.94,42142.43,46865.13,40182.04,0,39063.06,30375.84,37452.92,10936.98,970.5,3142.29,46061.64,56199.67,53351.94,77988.25,98881.2,114270.39,150641.89,245272.91
Bayern Munchen,70342.3,20265.98,50681.0,17631.15,48576.02,39063.06,0,45628.4,1941.85,28644.83,39852.88,37929.15,38165.06,16939.67,16661.94,37886.06,58714.38,87842.0,176822.0,279020.22
Peñarol,25500.39,60443.76,21597.62,51683.87,17641.95,30375.84,45628.4,0,45686.8,35174.11,30540.7,33087.44,74968.0,52822.07,53287.38,72104.54,93265.14,85408.24,145313.38,249956.27
Borussia Dortmund,72729.13,20466.94,52521.9,19360.69,50271.87,37452.92,1941.85,45686.8,0,26748.4,37880.03,35893.6,37443.81,17640.16,16583.46,37428.12,57323.78,86101.0,171792.5,270161.79
Columbus Crew,62979.07,43050.5,47409.84,40516.89,45296.52,10936.98,28644.83,35174.11,26748.4,0,11129.37,9086.19,42399.15,43375.78,39930.12,62766.45,81890.78,102796.57,150056.73,240232.65
América,60540.97,56267.64,48011.67,52821.53,45357.76,970.5,39852.88,30540.7,37880.03,11129.37,0,2867.04,45359.06,53116.15,48955.55,71686.74,90068.24,103533.14,135193.12,223104.79
Monterrey,63225.2,54389.34,50046.72,51442.51,47461.24,3142.29,37929.15,33087.44,35893.6,9086.19,2867.04,0,43041.45,51345.37,47373.72,69592.74,87676.87,104552.47,136287.9,224069.3
Yokohama F. Marinos,106462.86,60748.31,92794.46,61035.2,90372.08,46061.64,38165.06,74968.0,37443.81,42399.15,45359.06,43041.45,0,41210.23,48356.96,49499.57,62114.61,96837.48,123481.39,228906.89
Al Ahly,103010.99,57342.88,77222.07,48913.09,72385.81,56199.67,16939.67,52822.07,17640.16,43375.78,53116.15,51345.37,41210.23,0,9069.28,11078.55,24302.91,48163.69,125042.54,220782.34
ES Tunis,111818.03,62625.66,83364.96,51553.36,78077.9,53351.94,16661.94,53287.38,16583.46,39930.12,48955.55,47373.72,48356.96,9069.28,0,16455.75,26671.4,44561.97,120927.93,194733.3
Al-Hilal,143482.0,95144.68,112873.99,85219.51,105909.19,77988.25,37886.06,72104.54,37428.12,62766.45,71686.74,69592.74,49499.57,11078.55,16455.75,0,6350.65,31155.07,90416.43,171930.49
Al Ain,181125.52,128997.14,146529.14,117919.72,138012.4,98881.2,58714.38,93265.14,57323.78,81890.78,90068.24,87676.87,62114.61,24302.91,26671.4,6350.65,0,26273.52,71515.9,138232.37
Mamelodi Sundowns,183626.56,165635.12,150338.89,148577.56,140000.74,114270.39,87842.0,85408.24,86101.0,102796.57,103533.14,104552.47,96837.48,48163.69,44561.97,31155.07,26273.52,0,56938.11,113613.94
Auckland City,270402.85,273590.2,241549.81,264044.09,228441.26,150641.89,176822.0,145313.38,171792.5,150056.73,135193.12,136287.9,123481.39,125042.54,120927.93,90416.43,71515.9,56938.11,0,36000.09
Pirae,418642.05,406621.48,377244.86,389418.02,360916.65,245272.91,279020.22,249956.27,270161.79,240232.65,223104.79,224069.3,228906.89,220782.34,194733.3,171930.49,138232.37,113613.94,36000.09,0
