Teams,River Plate,Manchester City,Atlético Mineiro,Real Madrid,Botafogo,Fluminense,Atletico Madrid,Pachuca,Bayern Munchen,Peñarol,Borussia Dortmund,Columbus Crew,América,Monterrey,Yokohama F. Marinos,UANL,Pohang Steelers,Al Ahly,ES Tunis,Al-Hilal,Al Ain,Mamelodi Sundowns,Auckland City,Pirae
River Plate,0,45645.35,10301.66,42460.89,10868.3,14905.09,50491.66,52843.99,70342.3,25500.39,72729.13,62979.07,60540.97,63225.2,106462.86,69363.71,131576.72,103010.99,111818.03,143482.0,181125.52,183626.56,270402.85,418642.05
Manchester City,45645.35,0,36486.86,6115.98,38077.39,40348.26,10885.93,49445.94,20265.98,60443.76,20466.94,43050.5,56267.64,54389.34,60748.31,59491.79,77358.73,57342.88,62625.66,95144.68,128997.14,165635.12,273590.2,406621.48
Atlético Mineiro,10301.66,36486.86,0,31661.85,1550.66,3221.41,35295.52,42142.43,50681.0,21597.62,52521.9,47409.84,48011.67,50046.72,92794.46,54835.98,109493.47,77222.07,83364.96,112873.99,146529.14,150338.89,241549.81,377244.86
Real Madrid,42460.89,6115.98,31661.85,0,32647.29,33905.93,2922.59,46865.13,17631.15,51683.87,19360.69,40516.89,52821.53,51442.51,61035.2,55977.87,75495.44,48913.09,51553.36,85219.51,117919.72,148577.56,264044.09,389418.02
Botafogo,10868.3,38077.39,1550.66,32647.29,0,865.84,34762.18,40182.04,48576.02,17641.95,50271.87,45296.52,45357.76,47461.24,90372.08,51784.57,105381.88,72385.81,78077.9,105909.19,138012.4,140000.74,228441.26,360916.65
Fluminense,14905.09,40348.26,3221.41,33905.93,865.84,0,32905.53,35415.94,43573.18,12586.13,44830.49,39589.23,39199.8,41283.07,83888.25,44649.76,95887.53,62719.04,66847.83,92343.2,121407.04,121480.58,204749.34,329127.16
Atletico Madrid,50491.66,10885.93,35295.52,2922.59,34762.18,32905.53,0,38545.2,8883.34,42838.35,9804.05,30459.15,41917.56,40501.9,49511.15,43261.35,58408.33,31512.32,31238.92,60587.17,87647.55,114769.86,220592.78,330941.78
Pachuca,52843.99,49445.94,42142.43,46865.13,40182.04,35415.94,38545.2,0,39063.06,30375.84,37452.92,10936.98,970.5,3142.29,46061.64,4249.54,54508.12,56199.67,53351.94,77988.25,98881.2,114270.39,150641.89,245272.91
Bayern Munchen,70342.3,20265.98,50681.0,17631.15,48576.02,43573.18,8883.34,39063.06,0,45628.4,1941.85,28644.83,39852.88,37929.15,38165.06,38888.15,41252.48,16939.67,16661.94,37886.06,58714.38,87842.0,176822.0,279020.22
Peñarol,25500.39,60443.76,21597.62,51683.87,17641.95,12586.13,42838.35,30375.84,45628.4,0,45686.8,35174.11,30540.7,33087.44,74968.0,34043.98,83849.55,52822.07,53287.38,72104.54,93265.14,85408.24,145313.38,249956.27
Borussia Dortmund,72729.13,20466.94,52521.9,19360.69,50271.87,44830.49,9804.05,37452.92,1941.85,45686.8,0,26748.4,37880.03,35893.6,37443.81,36600.6,39967.05,17640.16,16583.46,37428.12,57323.78,86101.0,171792.5,270161.79
Columbus Crew,62979.07,43050.5,47409.84,40516.89,45296.52,39589.23,30459.15,10936.98,28644.83,35174.11,26748.4,0,11129.37,9086.19,42399.15,9629.81,47984.6,43375.78,39930.12,62766.45,81890.78,102796.57,150056.73,240232.65
América,60540.97,56267.64,48011.67,52821.53,45357.76,39199.8,41917.56,970.5,39852.88,30540.7,37880.03,11129.37,0,2867.04,45359.06,3178.93,51357.71,53116.15,48955.55,71686.74,90068.24,103533.14,135193.12,223104.79
Monterrey,63225.2,54389.34,50046.72,51442.51,47461.24,41283.07,40501.9,3142.29,37929.15,33087.44,35893.6,9086.19,2867.04,0,43041.45,308.82,48845.17,51345.37,47373.72,69592.74,87676.87,104552.47,136287.9,224069.3
Yokohama F. Marinos,106462.86,60748.31,92794.46,61035.2,90372.08,83888.25,49511.15,46061.64,38165.06,74968.0,37443.81,42399.15,45359.06,43041.45,0,43110.78,6366.63,41210.23,48356.96,49499.57,62114.61,96837.48,123481.39,228906.89
UANL,69363.71,59491.79,54835.98,55977.87,51784.57,44649.76,43261.35,4249.54,38888.15,34043.98,36600.6,9629.81,3178.93,308.82,43110.78,0,47207.69,49653.91,44791.25,65675.51,82022.65,97850.49,126579.45,209737.43
Pohang Steelers,131576.72,77358.73,109493.47,75495.44,105381.88,95887.53,58408.33,54508.12,41252.48,83849.55,39967.05,47984.6,51357.71,48845.17,6366.63,47207.69,0,35005.71,39995.72,36040.19,43158.17,74561.72,97564.77,189899.19
Al Ahly,103010.99,57342.88,77222.07,48913.09,72385.81,62719.04,31512.32,56199.67,16939.67,52822.07,17640.16,43375.78,53116.15,51345.37,41210.23,49653.91,35005.71,0,9069.28,11078.55,24302.91,48163.69,125042.54,220782.34
ES Tunis,111818.03,62625.66,83364.96,51553.36,78077.9,66847.83,31238.92,53351.94,16661.94,53287.38,16583.46,39930.12,48955.55,47373.72,48356.96,44791.25,39995.72,9069.28,0,16455.75,26671.4,44561.97,120927.93,194733.3
Al-Hilal,143482.0,95144.68,112873.99,85219.51,105909.19,92343.2,60587.17,77988.25,37886.06,72104.54,37428.12,62766.45,71686.74,69592.74,49499.57,65675.51,36040.19,11078.55,16455.75,0,6350.65,31155.07,90416.43,171930.49
Al Ain,181125.52,128997.14,146529.14,117919.72,138012.4,121407.04,87647.55,98881.2,58714.38,93265.14,57323.78,81890.78,90068.24,87676.87,62114.61,82022.65,43158.17,24302.91,26671.4,6350.65,0,26273.52,71515.9,138232.37
Mamelodi Sundowns,183626.56,165635.12,150338.89,148577.56,140000.74,121480.58,114769.86,114270.39,87842.0,85408.24,86101.0,102796.57,103533.14,104552.47,96837.48,97850.49,74561.72,48163.69,44561.97,31155.07,26273.52,0,56938.11,113613.94
Auckland City,270402.85,273590.2,241549.81,264044.09,228441.26,204749.34,220592.78,150641.89,176822.0,145313.38,171792.5,150056.73,135193.12,136287.9,123481.39,126579.45,97564.77,125042.54,120927.93,90416.43,71515.9,56938.11,0,36000.09
Pirae,418642.05,406621.48,377244.86,389418.02,360916.65,329127.16,330941.78,245272.91,279020.22,249956.27,270161.79,240232.65,223104.79,224069.3,228906.89,209737.43,189899.19,220782.34,194733.3,171930.49,138232.37,113613.94,36000.09,0
