RK,Team,Total Points,Previous Points,+/-,Match window,More
17.0,JapanJPN,1620.19,1620.19,-,,
21.0,IR IranIRN,1565.08,1565.08,-,,
23.0,Korea RepublicKOR,1550.65,1550.65,-,,
25.0,AustraliaAUS,1539.22,1539.22,-,,
56.0,Saudi ArabiaKSA,1421.06,1421.06,-,,
58.0,QatarQAT,1407.3,1407.3,-,,
63.0,IraqIRQ,1365.98,1365.98,-,,
64.0,United Arab EmiratesUAE,1364.46,1364.46,-,,
68.0,UzbekistanUZB,1345.26,1345.26,-,,
74.0,OmanOMA,1324.89,1324.89,-,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
