RK,Team,Total Points,Previous Points,+/-,Match window,More
13.0,MoroccoMAR,1661.69,1661.69,-,,
20.0,SenegalSEN,1594.31,1594.31,-,,
28.0,TunisiaTUN,1523.23,1523.23,-,,
30.0,AlgeriaALG,1520.26,1520.26,-,,
33.0,EgyptEGY,1518.91,1518.91,-,,
42.0,NigeriaNGA,1474.44,1474.44,-,,
46.0,CameroonCMR,1463.06,1463.06,-,,
491.0,Côte d'IvoireCIV,1447.65,1447.65,-,,
51.0,MaliMLI,1445.6,1445.6,-,,
57.0,Burkina FasoBFA,1411.01,1411.01,-,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
