RK,Team,Total Points,Previous Points,+/-,Match window,More
104.0,New ZealandNZL,1197.47,1197.47,-,,
132.0,Solomon IslandsSOL,1113.57,1112.2,+1.37,LW,
1591.0,New CaledoniaNCL,1008.92,1004.76,+4.16,WW,
1631.0,TahitiTAH,999.48,994.97,+4.51,WW,
165.0,Papua New GuineaPNG,990.61,991.01,-0.4,LW,
1682.0,FijiFIJ,981.26,980.62,+0.64,WL,
1702.0,VanuatuVAN,980.33,985.26,-4.93,LL,
185.0,Cook IslandsCOK,897.3,901.9,-4.6,LL,
1861.0,SamoaSAM,896.78,896.28,+0.5,WL,
188.0,American SamoaASA,890.97,893.67,-2.7,L,
,,,,,,
