RK,Team,Total Points,Previous Points,+/-,Match window,More
2.0,FranceFRA,1845.44,1845.44,-,,
3.0,EnglandENG,1800.05,1800.05,-,,
4.0,BelgiumBEL,1798.46,1798.46,-,,
6.0,NetherlandsNED,1745.48,1745.48,-,,
7.0,PortugalPOR,1745.06,1745.06,-,,
8.0,SpainESP,1732.64,1732.64,-,,
9.0,ItalyITA,1718.82,1718.82,-,,
10.0,CroatiaCRO,1717.57,1717.57,-,,
16.0,GermanyGER,1631.22,1631.22,-,,
18.0,SwitzerlandSUI,1613.44,1613.44,-,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
