RK,Team,Total Points,Previous Points,+/-,Match window,More
1,ArgentinaARG,1855.2,1855.2,-,,
2,FranceFRA,1845.44,1845.44,-,,
3,EnglandENG,1800.05,1800.05,-,,
4,BelgiumBEL,1798.46,1798.46,-,,
5,BrazilBRA,1784.09,1784.09,-,,
6,NetherlandsNED,1745.48,1745.48,-,,
7,PortugalPOR,1745.06,1745.06,-,,
8,SpainESP,1732.64,1732.64,-,,
9,ItalyITA,1718.82,1718.82,-,,
10,CroatiaCRO,1717.57,1717.57,-,,
11,UruguayURU,1665.99,1665.99,-,,
12,USAUSA,1665.27,1665.27,-,,
13,MoroccoMAR,1661.69,1661.69,-,,
141,ColombiaCOL,1655.29,1651.2,+4.09,WW,
151,MexicoMEX,1652.7,1655.21,-2.51,L,
16,GermanyGER,1631.22,1631.22,-,,
17,JapanJPN,1620.19,1620.19,-,,
18,SwitzerlandSUI,1613.44,1613.44,-,,
19,DenmarkDEN,1601.31,1601.31,-,,
20,SenegalSEN,1594.31,1594.31,-,,
21,IR IranIRN,1565.08,1565.08,-,,
22,UkraineUKR,1553.35,1553.35,-,,
23,Korea RepublicKOR,1550.65,1550.65,-,,
24,AustriaAUT,1546.1,1546.1,-,,
25,AustraliaAUS,1539.22,1539.22,-,,
26,SwedenSWE,1530.19,1530.19,-,,
27,HungaryHUN,1525.13,1525.13,-,,
28,TunisiaTUN,1523.23,1523.23,-,,
29,WalesWAL,1521.88,1521.88,-,,
30,AlgeriaALG,1520.26,1520.26,-,,
31,PolandPOL,1520.24,1520.24,-,,
32,EcuadorECU,1519.2,1519.2,-,,
33,EgyptEGY,1518.91,1518.91,-,,
34,SerbiaSRB,1517.43,1517.43,-,,
35,PeruPER,1512.68,1512.68,-,,
36,ScotlandSCO,1506.89,1506.89,-,,
37,TürkiyeTUR,1505.28,1505.28,-,,
38,RussiaRUS,1498.84,1498.84,-,,
39,CzechiaCZE,1494.04,1494.04,-,,
40,ChileCHI,1489.82,1489.82,-,,
41,PanamaPAN,1475.62,1475.62,-,,
42,NigeriaNGA,1474.44,1474.44,-,,
43,RomaniaROU,1472.73,1472.73,-,,
44,NorwayNOR,1472.36,1472.36,-,,
45,SlovakiaSVK,1465.73,1465.73,-,,
46,CameroonCMR,1463.06,1463.06,-,,
47,GreeceGRE,1453.95,1453.95,-,,
48,CanadaCAN,1453.76,1453.76,-,,
491,Côte d'IvoireCIV,1447.65,1447.65,-,,
501,VenezuelaVEN,1447.2,1448.77,-1.57,L,
51,MaliMLI,1445.6,1445.6,-,,
52,Costa RicaCRC,1437.57,1437.57,-,,
53,ParaguayPAR,1430.73,1430.73,-,,
54,SloveniaSVN,1427.84,1427.84,-,,
55,JamaicaJAM,1421.54,1421.54,-,,
56,Saudi ArabiaKSA,1421.06,1421.06,-,,
57,Burkina FasoBFA,1411.01,1411.01,-,,
58,QatarQAT,1407.3,1407.3,-,,
59,FinlandFIN,1401.31,1401.31,-,,
60,Republic of IrelandIRL,1399.6,1399.6,-,,
61,GhanaGHA,1384.19,1384.19,-,,
62,AlbaniaALB,1382.69,1382.69,-,,
63,IraqIRQ,1365.98,1365.98,-,,
64,United Arab EmiratesUAE,1364.46,1364.46,-,,
65,North MacedoniaMKD,1362.17,1362.17,-,,
66,South AfricaRSA,1357.08,1357.08,-,,
67,Congo DRCOD,1356.66,1356.66,-,,
68,UzbekistanUZB,1345.26,1345.26,-,,
69,Bosnia and HerzegovinaBIH,1343.32,1343.32,-,,
70,MontenegroMNE,1342.64,1342.64,-,,
71,IcelandISL,1338.39,1338.39,-,,
72,Northern IrelandNIR,1333.17,1333.17,-,,
73,Cabo VerdeCPV,1329.8,1329.8,-,,
74,OmanOMA,1324.89,1324.89,-,,
75,IsraelISR,1323.43,1323.43,-,,
76,HondurasHON,1313.8,1313.8,-,,
77,GeorgiaGEO,1312.45,1312.45,-,,
78,El SalvadorSLV,1306.14,1306.14,-,,
79,China PRCHN,1299.49,1299.49,-,,
80,GuineaGUI,1290.01,1290.01,-,,
81,BulgariaBUL,1289.9,1289.9,-,,
82,GabonGAB,1289.52,1289.52,-,,
83,LuxembourgLUX,1285.41,1285.41,-,,
84,ZambiaZAM,1284.56,1284.56,-,,
85,BoliviaBOL,1284.55,1284.55,-,,
86,BahrainBHR,1277.29,1277.29,-,,
87,JordanJOR,1272.63,1272.63,-,,
88,Equatorial GuineaEQG,1268.43,1268.43,-,,
89,HaitiHAI,1262.5,1262.5,-,,
90,CuraçaoCUW,1262.48,1262.48,-,,
91,SyriaSYR,1245.27,1245.27,-,,
92,UgandaUGA,1245.08,1245.08,-,,
93,ArmeniaARM,1237.15,1237.15,-,,
94,VietnamVIE,1235.58,1235.58,-,,
95,BelarusBLR,1232.8,1232.8,-,,
96,Trinidad and TobagoTRI,1228.05,1228.05,-,,
97,BeninBEN,1225.1,1225.1,-,,
98,Kyrgyz RepublicKGZ,1224.14,1224.14,-,,
99,PalestinePLE,1217.6,1217.6,-,,
100,KazakhstanKAZ,1215.16,1215.16,-,,
101,KosovoKOS,1202.77,1202.77,-,,
102,IndiaIND,1200.8,1200.8,-,,
103,Guinea-BissauGNB,1197.83,1197.83,-,,
104,New ZealandNZL,1197.47,1197.47,-,,
105,MauritaniaMTN,1195.25,1195.25,-,,
106,TajikistanTJK,1195.07,1195.07,-,,
107,LebanonLBN,1192.58,1192.58,-,,
108,GuatemalaGUA,1189.98,1189.98,-,,
109,MadagascarMAD,1187.63,1187.63,-,,
110,KenyaKEN,1181.92,1181.92,-,,
111,MozambiqueMOZ,1180.72,1180.72,-,,
112,CongoCGO,1179.8,1179.8,-,,
113,ThailandTHA,1176.75,1176.75,-,,
114,AzerbaijanAZE,1174.22,1174.22,-,,
115,NamibiaNAM,1168.38,1168.38,-,,
116,Korea DPRPRK,1168.12,1168.12,-,,
117,AngolaANG,1168.05,1168.05,-,,
118,TogoTOG,1165.74,1165.74,-,,
119,ComorosCOM,1156.45,1156.45,-,,
120,LibyaLBY,1155.23,1155.23,-,,
121,TanzaniaTAN,1155.19,1155.19,-,,
122,EstoniaEST,1149.7,1149.7,-,,
123,MalawiMWI,1149.4,1149.4,-,,
124,ZimbabweZIM,1144.56,1144.56,-,,
125,CyprusCYP,1143.42,1143.42,-,,
126,The GambiaGAM,1140.06,1140.06,-,,
127,Sierra LeoneSLE,1138.53,1138.53,-,,
128,SudanSDN,1128.74,1128.74,-,,
129,NigerNIG,1127.75,1127.75,-,,
130,MalaysiaMAS,1122.87,1122.87,-,,
131,Central African RepublicCTA,1121.34,1121.34,-,,
