Date,Team 1,Team 2,Score,Penalty
13 Feb 2024,FC Kobenhavn,Manchester City,1-3,-
13 Feb 2024,RB Leipzig,Real Madrid,0-1,-
14 Feb 2024,Lazio,Bayern Munchen,1-0,-
14 Feb 2024,Paris St Germain,Real Sociedad,2-0,-
20 Feb 2024,Internazionale,Atletico Madrid,1-0,-
20 Feb 2024,PSV Eindhoven,Borussia Dortmund,1-1,-
21 Feb 2024,FC Porto,Arsenal,1-0,-
21 Feb 2024,Napoli,Barcelona,1-1,-
05 Mar 2024,Bayern Munchen,Lazio,3-0,-
05 Mar 2024,Real Sociedad,Paris St Germain,1-2,-
06 Mar 2024,Manchester City,FC Kobenhavn,3-1,-
06 Mar 2024,Real Madrid,RB Leipzig,1-1,-
12 Mar 2024,Arsenal,FC Porto,1-0,4-2
12 Mar 2024,Barcelona,Napoli,3-1,-
13 Mar 2024,Atletico Madrid,Internazionale,2-1,5-4
13 Mar 2024,Borussia Dortmund,PSV Eindhoven,2-0,-
09 Apr 2024,Arsenal,Bayern Munchen,2-2,-
09 Apr 2024,Real Madrid,Manchester City,3-3,-
10 Apr 2024,Atletico Madrid,Borussia Dortmund,2-1,-
10 Apr 2024,Paris St Germain,Barcelona,2-3,-
16 Apr 2024,Barcelona,Paris St Germain,1-4,-
16 Apr 2024,Borussia Dortmund,Atletico Madrid,4-2,-
17 Apr 2024,Bayern Munchen,Arsenal,1-0,-
17 Apr 2024,Manchester City,Real Madrid,1-1,3-4
30 Apr 2024,Bayern Munchen,Real Madrid,2-2,-
01 May 2024,Borussia Dortmund,Paris St Germain,1-0,-
07 May 2024,Paris St Germain,Borussia Dortmund,0-1,-
08 May 2024,Real Madrid,Bayern Munchen,2-1,-
01 Jun 2024,Borussia Dortmund,Real Madrid,0-2,-
