Rank,Team,Elo Rating
1,Al-Hilal,858.64
2,Al Ain,847.17
3,Yokohama F. Marinos,845.11
4,Pohang Steelers,842.17
5,Al Nassr,838.61
6,Kawasaki Frontale,834.69
7,Ulsan Hyundai,832.97
8,Jeonbuk Hyundai Motors,828.18
9,Al-Ain,827.49
10,Shandong Taishan,826.98
11,Nasaf,820.8
12,Navbahor,820.62
13,Al-Quwa Al-Jawiya,820.47
14,Al-Ittihad,814.29
15,Ventforet Kofu,814.22
16,Incheon United,813.78
17,Sepahan,813.6
18,Melbourne City,806.42
19,Bangkok United,806.28
20,Al-Fayha,801.25
21,Al Sadd,800.48
22,Johor Darul Ta'zim,800.31
23,Persepolis,799.53
24,Sharjah,799.03
25,Al-Duhail,794.22
26,Zhejiang,793.89
27,Kitchee,793.72
28,Pakhtakor,793.43
29,Urawa Red Diamonds,792.5
30,Hanoi FC,787.19
31,Al-Faisaly,787.03
32,Nassaji Mazandaran,785.95
33,Buriram United,785.47
34,Lion City Sailors,785.31
35,Istiklol,779.22
36,Wuhan Three Towns,778.14
37,Ahal,777.83
38,Kaya-Iloilo,758.13
39,BG Pathum United,757.81
40,Mumbai City,757.81
41,AGMK,757.5
