Rank,Team,Elo Rating
1,Pachuca,850.3
2,América,832.49
3,Monterrey,832.24
4,Columbus Crew,832.0
5,UANL,820.0
6,New England Revolution,819.73
7,Inter Miami CF,812.77
8,Herediano,812.5
9,Philadelphia Union,807.5
10,Guadalajara,807.5
11,Orlando City SC,807.5
12,FC Cincinnati,807.5
13,Nashville SC,807.5
14,Toluca,800.0
15,St. Louis City SC,800.0
16,Houston Dynamo FC,800.0
17,Robinhood,800.0
18,Alajuelense,800.0
19,Saprissa,792.5
20,Real Estelí,792.5
21,Forge FC,792.5
22,Independiente,792.5
23,Vancouver Whitecaps FC,792.5
24,Cavalry FC,792.5
25,Comunicaciones,792.5
26,Cavalier,792.5
27,Moca,792.5
