Rank,Team,Elo Rating
1,Atlético Mineiro,864.11
2,River Plate,857.98
3,Botafogo,854.42
4,Peñarol,840.04
5,Fluminense,834.53
6,São Paulo,833.79
7,Palmeiras,828.41
8,Flamengo,820.62
9,Bolívar,820.47
10,Talleres,820.31
11,Junior,814.22
12,Grêmio,808.98
13,The Strongest,807.02
14,Nacional,806.25
15,Colo-Colo,805.65
16,San Lorenzo,800.94
17,Fluminse,800.0
18,Huachipato,799.39
19,Libertad,793.75
20,Barcelona,793.44
21,LDU Quito,792.97
22,Palestino,792.94
23,Independiente del Valle,792.82
24,Cerro Porteño,792.81
25,Rosario Central,792.53
26,Alianza Lima,785.79
27,Estudiantes,785.36
28,Universitario,784.56
29,Millonarios,778.93
30,Liverpool,777.82
31,Deportivo Táchira,765.01
32,Cobresal,764.4
33,Caracas,764.38
