Rank,Team,Elo Rating
1,Real Madrid,884.98
2,Manchester City,863.69
3,Bayern Munchen,858.85
4,Borussia Dortmund,853.14
5,Atletico Madrid,846.96
6,Paris St Germain,837.74
7,Barcelona,837.59
8,Internazionale,834.74
9,Arsenal,828.03
10,Lazio,820.39
11,RB Leipzig,815.64
12,Shakhtar Donetsk,815.28
13,FC Porto,812.7
14,PSV Eindhoven,808.25
15,Real Sociedad,807.2
16,Napoli,806.95
17,Red Bull Salzburg,806.87
18,FC Kobenhavn,800.94
19,AC Milan,800.32
20,RC Lens,799.54
21,Newcastle United,798.75
22,Galatasaray,785.32
23,Feyenoord,784.69
24,Celtic,779.68
25,Young Boys Berne,779.21
26,Manchester United,778.75
27,Sporting Braga,778.59
28,Royal Antwerp,772.83
29,1. FC Union Berlin,772.35
30,Sevilla,770.81
31,Crvena Zvezda,764.55
32,Benfica,763.93
